Condition,ID,Time,Speaker,Utterance,Question Form,Question Type
RI-B,17,22.13,C,Keep in mind that I can't see your screen so you will have to keep me updated on your progress,,
RI-B,17,53.47,C,Please ask me any questions you have. I'm here to help,,
RI-B,17,53.48,P,ok ,Statement,
RI-B,17,78.92,P,what do i do first ,WHQ,Query: Goal-Related
RI-B,17,86.47,C,"The megaband module goes in locker Z, top shelf",,
RI-B,17,115.80,P,what does it look like? ,WHQ,Query: Object Description: General
RI-B,17,128.55,C,Modules are scanning tools with a trigger and glowing lines in the front. there are 3 of them. ,,
RI-B,17,184.90,P,which one is the megaband module,WHQ,Query: Object Identification
RI-B,17,199.78,C,the megaband module has stripes,,
RI-B,17,242.80,P,I have the megaband module ,Statement,
RI-B,17,346.63,C,great ,,
RI-B,17,247.80,P,where is locker z? ,WHQ,Query: Location-Related
RI-B,17,293.27,C,its the red locker ,,
RI-B,17,325.50,P,the red locker is closed ,Statement,
RI-B,17,345.91,C,"To open a locker, use the nearby panel. Insert the bypass and flip the switch to the On position",,
RI-B,17,401.46,P,where is the bypass ,WHQ,Query: Location-Related
RI-B,17,410.78,C,the bypass is a small block that should be near the lockers. It goes in the panel,,
RI-B,17,488.68,P,I've placed the megaband module in the top shelf ,Statement,
RI-B,17,496.23,C,great ,,
RI-B,17,530.18,P,what is next? ,WHQ,Query: Goal-Related
RI-B,17,535.48,C,Move to the Delta platform,,
RI-B,17,564.84,P,where is the platform? ,WHQ,Query: Location-Related
RI-B,17,579.70,C,its the middle one in a set of 3 ,,
RI-B,17,610.38,P,ok ,Statement,
RI-B,17,616.66,C,Pick up the optimized synthesizer ,,
RI-B,17,638.76,P,it is closed ,Statement,
RI-B,17,666.81,C,The platforms are not closed ,,
RI-B,17,706.4767,P,what does the optimized synthesizer look like?,WHQ,Query: Object Description: General
RI-B,17,718.8078,C,Synthesizers are measurement tools with a number display and dial. There are 3 of them.,,
RI-B,17,738.7567,P,what color is it?,WHQ,Query: Object Description: Color
RI-B,17,742.7273,C,it is blue,,
RI-B,17,796.6768,P,I have the item,Statement,
RI-B,17,799.4469,C,Move to the primary cabinet,,
RI-B,17,823.4967,P,which is the primary cabinet?,WHQ,Query: Object Identification
RI-B,17,848.9953,C,it is the cabinet with grey doors,,
RI-B,17,867.0167,P,i'm at the cabinet,Statement,
RI-B,17,892.3498,C,Place the optimized synthesizer on shelf B,,
RI-B,17,922.0167,P,bottom or top?,AQ,Confirm Object by Location: Spatial
RI-B,17,929.2742,C,shelf b is the rop right shelf,,
RI-B,17,1052.877,P,shelf b is closed,Statement,
RI-B,17,1067.851,C,"To open the primary cabinet, arrange the keycards in the right order on the panel. There is a different order depending on which side you would like to open. ",,
RI-B,17,1121.117,P,I've placed the item on shelf b,Statement,
RI-B,17,1133.103,C,great,,
RI-B,17,1142.897,P,What is next?,WHQ,Query: Goal-Related
RI-B,17,1147.996,C,Move to Crate 2,,
RI-B,17,1175.097,P,where is crate 2?,WHQ,Query: Location-Related
RI-B,17,1199.13,C,it's the middle one ina  set of 3,,
RI-B,17,1211.697,P,I'm there,Statement,
RI-B,17,1221.73,C,Pick up the sonic optimizer from Crate 2,,
RI-B,17,1236.777,P,it is closed,Statement,
RI-B,17,1248.835,C,"To open a crate, put in the access code on the nearby keypad",,
RI-B,17,1312.417,P,what is the access code?,WHQ,Query: Request Teaching: Target
RI-B,17,1335.784,C,The code for crate 2 is 5678,,
RI-B,17,1379.917,P,I have the item,Statement,
RI-B,17,1390.497,C,great,,
RI-B,17,1406.837,P,where does the item go?,WHQ,Query: Location-Related
RI-B,17,1420.034,C,Move to the secondary cabinet,,
RI-B,17,1446.237,P,what is the secondary cabinet?,WHQ,Query: Object Identification
RI-B,17,1454.021,C,it's the cabinet with brown doors,,
RI-B,17,1469.337,P,i'm there,Statement,
RI-B,17,1483.308,C,ok,,
RI-B,17,1506.994,C,Can I answer any questions for you?,,
RI-B,17,1513.437,P,which shelf does the item go on,WHQ,Query: Location-Related
RI-B,17,1516.79,C,Place the sonic optimizer on shelf A ,,
RI-B,17,1528.237,P,which is shelf a?,WHQ,Query: Object Identification
RI-B,17,1534.21,C,its the top left one,,
RI-B,17,1569.617,P,It is done,Statement,
