Condition,ID,Time,Speaker,Utterance,Question Form,Question Type
RI-C,6,12.16,P,HELLO ,,
RI-C,6,36.60,P,where does the item with the polkda dots go? ,WHQ,Query: Location-Related
RI-C,6,63.25,C,That is not one of the items that needs to be put away. ,,
RI-C,6,102.84,P,What about the gray item with blue spaces on it? ,WHQ,Query: Goal-Related
RI-C,6,126.46,C,there are three of those items. You'll need to put one of them away. ,,
RI-C,6,134.12,P,Where does it go. ,WHQ,Query: Location-Related
RI-C,6,150.66,C,"The megaband module goes in locker Z, top shelf",,
RI-C,6,176.40,P,which shelf is the locker? ,WHQ,Query: Object Identification
RI-C,6,185.69,C,Locker Z is red ,,
RI-C,6,270.54,P,Alright is that correct?,YNQ,Confirm Action: General
RI-C,6,281.86,C,"Sorry, I can't rely on the video to answer that question",,
RI-C,6,289.32,C,Can I help answer any questions for you? ,,
RI-C,6,338.72,P,where does the pink and black item go?,WHQ,Query: Location-Related
RI-C,6,250.24,C,That is not one of the items that needs to be put away,,
RI-C,6,377.92,P,how about this big black item? ,WHQ,Query: Location-Related
RI-C,6,414.53,C,I believe you are referring to the optimizer. There are three of those. One of them needs to be put away.,,
RI-C,6,414.9,P,hello? ,Other,
RI-C,6,424.98,P,ok where does it go? ,WHQ,Query: Location-Related
RI-C,6,445.12,C,Move to Crate 2 ,,
RI-C,6,460.7,P,where is crate 2? ,WHQ,Query: Location-Related
RI-C,6,470.56,C,Crate two is the middle one in a group of three ,,
RI-C,6,483.59,C,Pick up the sonic optimizer from Crate 2 ,,
RI-C,6,506.28,P,it doesn't open ,Statement,
RI-C,6,524.64,C,"To open a crate, put in the access code on the nearby keypad",,
RI-C,6,538.68,P,what is the code ,WHQ,Query: Request Teaching: Target
RI-C,6,547.20,C,The code for crate 2 is 5678,,
RI-C,6,574.28,P,ok i picked up the object ,Statement,
RI-C,6,576.68,C,Move to the secondary cabinet ,,
RI-C,6,588.76,C,It is the brown cabinet ,,
RI-C,6,608.2,P,narrow one next to two other cabinets? ,YNQ,Confirm Object by Feature: Shape
RI-C,6,621.1312,C,there are only two cabinets ,,
RI-C,6,628.31,C,The secondary one has brown doors ,,
RI-C,6,648.82,P,alright ,Statement,
RI-C,6,654.12,P,does it need a code? ,YNQ,Confirm Action: Task-Related
RI-C,6,668.55,C,"No, the secondary cabinet opens by clicking the doors ",,
RI-C,6,670.16,C,Place the sonic optimizer on shelf A ,,
RI-C,6,683.02,P,doors do not open ,Statement,
RI-C,6,762.71,C,The doors of the secondary cabinet open by clicking on them,,
RI-C,6,796.73,P,they do not open ,Statement,
RI-C,6,796.73,C,Perhaps you are at the wrong cabinet ,,
RI-C,6,817.92,P,ok ,Statement,
RI-C,6,822.16,C,Great ,,
RI-C,6,825.62,P,so there is only one usable cabinet ,Statement,
RI-C,6,849.69,C,Both cabinets can open ,,
RI-C,6,855.14,P,Any other object I need to move? ,YNQ,Confirm Action: Task-Related
RI-C,6,878.75,C,Yes ,,
RI-C,6,883.36,P,which one ,WHQ,Query: Goal-Related
RI-C,6,887.89,C,Move to the primary cabinet ,,
RI-C,6,907.62,P,ok ,Statement,
RI-C,6,910.06,C,Pick up the tesla capacitor from shelf A,,
