Condition,ID,Time,Speaker,Utterance,Question Form,Question Type
RI-C,21,35.7,C,Intro message,,
RI-C,21,50.5,P,ok,Statement,
RI-C,21,69.4,C,Can I answer any questions for you?,,
RI-C,21,85.7,P,which 6,WHQ,Query: Goal-Related
RI-C,21,98,C,they are the following:,,
RI-C,21,105,C,tesla capacitor,,
RI-C,21,110,C,temporal emitter,,
RI-C,21,116,C,megaband module,,
RI-C,21,121,C,optimized synthesizer,,
RI-C,21,126,C,sonic optimizer,,
RI-C,21,132,C,mechano calibrator,,
RI-C,21,163,P,"ok, what does the tesla capacitor look like?",WHQ,Query: Object Description: General
RI-C,21,175,C,Capacitors are cylinder-shaped storage containers,,
RI-C,21,236,P,do you know where it is?,YNQ,Other
RI-C,21,251,C,"sorry, I do not. It may be locked in a container if you don't see it",,
RI-C,21,267,P,does it have light blue ring on the top? ,YNQ,"Confirm Object by Feature: Color, Symbol"
RI-C,21,274,C,"no, that is not it",,
RI-C,21,300.4204,P,do you know how to open the locker with a triangle on it? ,YNQ,Query: Request Teaching: Target
RI-C,21,321.9186,C,yes,,
RI-C,21,323.1714,C,"To open a crate, put in the access code on the nearby keypad",,
RI-C,21,328.403,C,The code for crate 3 is 2580,,
RI-C,21,351.6004,P,what about crate 2 ,WHQ,Query: Request Teaching: Target
RI-C,21,370.9361,C,The code for crate 2 is 5678,,
RI-C,21,395.5604,P,do you think it could be in the tall lockers? ,YNQ,Other
RI-C,21,405.4688,C,it is possible,,
RI-C,21,415.0204,P,how do I open the tall red locker? ,WHQ,Query: Request Teaching: Target
RI-C,21,423.0602,C,"To open a locker, use the nearby panel. Insert the bypass and flip the switch to the On position ",,
RI-C,21,429.0317,C,"To open locker Z, move the nozzle to red and press the red button",,
RI-C,21,481.4004,P,is the tesla ,,
RI-C,21,495.5204,P,is the tesla capacitor pink? ,YNQ,Confirm Object by Feature: Color
RI-C,21,500.2206,C,"no, it is green",,
RI-C,21,575.3004,P,can I use the same bypass for the cabinet? ,WHQ,Query: Request Teaching: Target
RI-C,21,592.4376,C,"No, the cabinet has a different opening procedure",,
RI-C,21,601.0903,C,"To open the primary cabinet, arrange the keycards in the right order on the panel. There is a different order depending on which side you would like to open. ",,
RI-C,21,641.8804,P,I will go with the right side ,Statement,
RI-C,21,651.1646,C,"The keycard order for the right cabinet door is: blue, brown, gray. Then press the red button. ",,
RI-C,21,672.4204,P,ok how about the left side ,WHQ,Query: Request Teaching: Target
RI-C,21,675.9303,C,"The keycard order for the left cabinet door is: red, blue, brown. Then press the red button. ",,
RI-C,21,719.3204,P,"ok, i found it. the green cylinder. where should I put it?",WHQ,Query: Location-Related
RI-C,21,734.2799,C,Move to the secondary cabinet,,
RI-C,21,753.1204,P,the other cabinet that looks similar? ,YNQ,Confirm Object by Feature: Comparison
RI-C,21,758.6793,C,yes,,
RI-C,21,771.2004,P,on the bottom shelf? ,WHQ,Query: Location-Related
RI-C,21,777.0346,C,Place the tesla capacitor on shelf B,,
RI-C,21,809.6604,P,is that the lowest one? ,YNQ,Confirm Object by Location: Spatial
RI-C,21,822.1949,C,it's the top right shelf,,
RI-C,21,841.0204,P,where should i put the pink cylinder that is in there now? ,WHQ,Query: Location-Related
RI-C,21,861.8793,C,that is not one of the needed items,,
