Condition,ID,Time,Speaker,Utterance,Question Form,Question Type
RI-C,26,13,P,Where dpes this object go with the yellow ends?,WHQ,Query: Location-Related
RI-C,26,37,C,that is not one of the objects needed for the task,,
RI-C,26,42,C,intro message,,
RI-C,26,71,P,What object should I start with?,WHQ,Query: Goal-Related
RI-C,26,83,C,Move to the primary cabinet,,
RI-C,26,115,P,"Ok, Im there",Statement,
RI-C,26,117,C,Pick up the tesla capacitor from shelf A,,
RI-C,26,130,P,Does it have numbers on it?,YNQ,Confirm Object by Feature: Other
RI-C,26,135,C,no,,
RI-C,26,166,P,What does it look like?,WHQ,Query: Object Description: General
RI-C,26,175,C,Capacitors are cylinder-shaped storage containers,,
RI-C,26,206,P,Ok. Is it purple with black spots?,Statement,
RI-C,26,210,C,"no, it is green",,
RI-C,26,230,P,"Ok, then I'm at the wrong cabinet",Statement,
RI-C,26,237,P,What color is the primary cabinet?,WHQ,Query: Object Description: Color
RI-C,26,244,C,it has grey colored doors,,
RI-C,26,305,P,The doors don't open,Statement,
RI-C,26,315,C,they are locked,,
RI-C,26,339,P,"Pl. So if the doors are locked, how am I supposed to get the object?",WHQ,Query: Request Teaching: General
RI-C,26,345,C,"To open the primary cabinet, arrange the keycards in the right order on the panel. There is a different order depending on which side you would like to open.",,
RI-C,26,460,P,How do I open the left side?,WHQ,Query: Request Teaching: Target
RI-C,26,468,C,"The keycard order for the left cabinet door is: red, blue, brown. Then press the red button. ",,
RI-C,26,502,P,Ok. Is the object a green cylinder?,Statement,
RI-C,26,506,C,yes,,
RI-C,26,515,C,Pick up the tesla capacitor from shelf A,,
RI-C,26,523,P,Ok I have the tesla capcitor,Statement,
RI-C,26,544,C,great,,
RI-C,26,557,P,Where do I put it,WHQ,Query: Location-Related
RI-C,26,561,C,Move to the secondary cabinet,,
RI-C,26,569,P,Which cabinet is that?,WHQ,Query: Object Identification
RI-C,26,587,C,it has brown doors,,
RI-C,26,616,P,Where does it need to in the secondary cabinet,WHQ,Query: Location-Related
RI-C,26,622,C,Place the tesla capcitor on shelf B,,
RI-C,26,637,P,Which shelf is shelf B,WHQ,Query: Object Identification
RI-C,26,644,C,top right shelf,,
RI-C,26,665,P,Ok it's there,Statement,
RI-C,26,670,C,great,,
RI-C,26,674,P,What's next?,WHQ,Query: Goal-Related
