Condition,ID,Time,Speaker,Utterance,Question Form,Question Type
RI-A,22,24,C,intro message ,,
RI-A,22,32,P,Okay,Statement,
RI-A,22,47,P,Where do I start?,WHQ,Query: Goal-Related
RI-A,22,56,C,"The sonic optimizer goes in the secondary cabinet, shelf A",,
RI-A,22,102,P,How do I open the cabinet?,WHQ,Query: Request Teaching: General
RI-A,22,116,C,"To open a locker, use the nearby panel. Insert the bypass and flip the switch to the On position",,
RI-A,22,170,P,what is the bypass?,WHQ,Query: Request Teaching: General
RI-A,22,179,C,The bypass is a small block that should be near the lockers. It goes in the panel,,
RI-A,22,304,C,Can I answer any questions for you?,,
RI-A,22,307,P,Okay I put the bypass on the panel.,Statement,
RI-A,22,311,P,what?,,
RI-A,22,318,P,now what?,WHQ,Query: Goal-Related
RI-A,22,327,C,let me know which locker you'd like to open,,
RI-A,22,342,P,The grey one in the middle,Statement,
RI-A,22,348,C,"To open locker Y, move the nozzle to gray and press the gray button",,
RI-A,22,430,P,Okay now I have a hose like object,Statement,
RI-A,22,456,C,One of those objects is needed but I'm not sure if you have the right one,,
RI-A,22,469,P,how do we find out,WHQ,Query: Request Teaching: General
RI-A,22,478,C,please ask me questions to clarify,,
RI-A,22,510,P,It is a black hose that is bent like an S,Statement,
RI-A,22,528,C,"there are three of those objects, each fitting that description",,
RI-A,22,560,P,The ends look like a greenish color,Statement,
RI-A,22,582,C,The one you need has white ends,,
RI-A,22,657,P,I don't see any with white ends anywhere,Statement,
RI-A,22,667,C,"If you don't see it, it may be locked in one of the container",,
RI-A,22,692,P,how do I open them,WHQ,Query: Request Teaching: General
RI-A,22,711,C,which container?,,
RI-A,22,719,P,the circle first,Statement,
RI-A,22,723,C,"To open a crate, put in the access code on the nearby keypad",,
RI-A,22,727,C,The code for crate 2 is 5678,,
RI-A,22,782,P,Okay that didn't have the hose. How about crate traingle?,Statement,
RI-A,22,787,C,The code for crate 3 is 2580,,
RI-A,22,817,P,Okay I have the hose I need,Statement,
RI-A,22,827,P,where does it go,WHQ,Query: Location-Related
RI-A,22,830,C,"The mechano calibrator goes in locker Y, bottom shelf",,
RI-A,22,946,P,whats my next move?,WHQ,Query: Goal-Related
RI-A,22,961.0838,C,"The tesla capacitor goes in the secondary cabinet, shelf B",,
RI-A,22,981.4316,P,what color is the secondary cabinet?,WHQ,Query: Object Description: Color
RI-A,22,992.0402,C,it is brown with brown doors,,
RI-A,22,1024.492,P,how do I open it?,WHQ,Query: Request Teaching: General
RI-A,22,1040.088,C,"To open the secondary cabinet, simply click on the door you'd like to open ",,
